seed,final_return,rms_V,rms_gradV,rms_oracle_b_gradV,rms_target,rms_bellman_err
0,1690.55,7.788,6.7484,25.2851,7.6884,1.5558
1,88.18,967.9602,1191.8959,6997.9758,947.2649,142.293
2,1635.55,8.8339,7.0009,25.829,8.7399,1.5593
3,900.59,7.2848,6.7082,24.9446,7.2556,0.5857
4,1409.79,6.1188,7.9595,34.3213,6.0333,1.8047
5,518.98,5.8007,4.1319,15.3943,5.7924,0.3633
6,1703.02,21.5447,8.9907,35.2967,21.3242,1.0828
7,1570.64,7.923,5.1738,18.9739,7.8477,0.8631
8,1259.0,6.446,8.6385,21.0173,6.4186,0.638
9,997.63,5.559,6.6091,18.4952,5.5468,0.8016
10,776.39,5.8409,6.0312,24.0113,5.8256,0.6246
11,636.84,7.6933,5.0074,24.0853,7.6492,0.4606
