seed,final_return,accel_nrmse,rollout_rel_err_H4,rollout_rel_err_H8,drift_nrmse
0,1690.55,0.722989,0.544884,0.400717,0.681629
1,88.18,0.596574,0.445635,0.338513,0.562452
2,1635.55,0.673415,0.508517,0.384798,0.634893
3,900.59,0.541134,0.394545,0.285413,0.510187
4,1409.79,0.629973,0.465306,0.340468,0.593938
5,518.98,0.614992,0.441108,0.311571,0.579815
6,1703.02,0.695887,0.532813,0.407722,0.656079
7,1570.64,0.699523,0.537529,0.407127,0.659506
8,1259.00,0.60012,0.440509,0.320236,0.565795
9,997.63,0.653912,0.482336,0.348735,0.616507
10,776.39,0.651149,0.482539,0.350582,0.613902
11,636.84,0.571694,0.410992,0.291739,0.538997
