seed,checkpoint_step,logged_final_return,direct_return,direct_return_std,rms_eps_T,rms_target_learned,rms_target_oracle,rms_learned_minus_oracle_target,rms_Q0_vs_learned,rms_Q1_vs_learned,rms_Q0_vs_oracle,rms_Q1_vs_oracle
0,498724,1690.55,1672.86,39.2,0.1403,7.6884,7.652,0.1403,1.5692,7.2141,1.5253,7.1596
1,496515,88.18,57.87,2.78,27.8715,947.2649,949.5972,27.8707,213.6928,159.673,212.7074,161.0316
2,498535,1635.55,1544.66,83.27,0.1561,8.7399,8.7746,0.1561,1.5691,0.8678,1.5684,0.8802
3,495479,900.59,1430.07,89.5,0.1115,7.2556,7.2489,0.1115,0.5798,0.6182,0.5833,0.6125
4,494885,1409.79,1040.87,47.26,0.1898,6.0333,6.0454,0.1898,1.8159,1.1528,1.8411,1.1638
5,493776,518.98,569.83,145.68,0.0624,5.7924,5.8065,0.0624,0.3521,0.3531,0.3558,0.357
6,497497,1703.02,1007.67,26.25,0.2779,21.3242,21.2231,0.2778,1.1279,1.7145,1.1346,1.8012
7,496543,1570.64,1441.83,140.76,0.127,7.8477,7.8849,0.127,0.8357,0.4999,0.8229,0.4927
8,491113,1259.0,1245.94,28.61,0.118,6.4186,6.4211,0.118,0.6704,0.5846,0.6696,0.6015
9,495368,997.63,1055.35,142.4,0.0859,5.5468,5.5651,0.0859,0.8542,0.7924,0.8687,0.792
10,494041,776.39,1216.71,76.07,0.0734,5.8256,5.8412,0.0734,0.6708,1.282,0.671,1.2717
11,492449,636.84,866.27,43.11,0.0915,7.6492,7.6619,0.0915,0.6222,0.5213,0.6353,0.5385
