mode,family,buffer,seed,final_step,final_reward,peak_reward
top,model-free,300k,0,2000000,1096.28,1148.74
top,model-free,300k,1,2000000,1142.94,1207.60
top,model-free,300k,2,2000000,910.17,1275.93
top,model-free,300k,3,2000000,728.98,1159.91
top,model-free,300k,4,2000000,867.85,1214.21
top,model-free,300k,5,2000000,987.81,1213.87
top,model-free,300k,6,2000000,1191.21,1191.21
top,model-free,300k,7,2000000,976.97,1163.04
top,model-free,300k,8,2000000,682.34,1238.37
top,model-free,300k,9,2000000,995.83,1225.10
top,model-free,300k,10,2000000,801.81,1270.34
top,model-free,300k,11,2000000,929.64,1186.80
top_buf1m,model-free,1M,0,2000000,1291.78,1318.05
top_buf1m,model-free,1M,1,2000000,1265.29,1429.11
top_buf1m,model-free,1M,2,2000000,1138.08,1317.35
top_buf1m,model-free,1M,3,2000000,1173.02,1264.54
top_buf1m,model-free,1M,4,2000000,1217.15,1471.94
top_buf1m,model-free,1M,5,2000000,1264.04,1271.97
top_buf1m,model-free,1M,6,2000000,1140.23,1288.77
top_buf1m,model-free,1M,7,2000000,1171.28,1288.81
top_buf1m,model-free,1M,8,2000000,1118.58,1310.16
top_buf1m,model-free,1M,9,2000000,1042.22,1365.46
top_buf1m,model-free,1M,10,2000000,1113.25,1298.70
top_buf1m,model-free,1M,11,2000000,1259.07,1287.86
mbq_vhead_quad,oracle+quad+Vhead,300k,0,2000000,899.28,1337.20
mbq_vhead_quad,oracle+quad+Vhead,300k,1,2000000,1167.68,1315.49
mbq_vhead_quad,oracle+quad+Vhead,300k,2,2000000,1187.30,1398.89
mbq_vhead_quad,oracle+quad+Vhead,300k,3,2000000,812.59,1377.72
mbq_vhead_quad,oracle+quad+Vhead,300k,4,2000000,1185.65,1330.32
mbq_vhead_quad,oracle+quad+Vhead,300k,5,2000000,1042.72,1296.02
mbq_vhead_quad,oracle+quad+Vhead,300k,6,2000000,942.24,1308.25
mbq_vhead_quad,oracle+quad+Vhead,300k,7,2000000,1275.39,1275.39
mbq_vhead_quad,oracle+quad+Vhead,300k,8,2000000,904.18,1242.45
mbq_vhead_quad,oracle+quad+Vhead,300k,9,2000000,865.07,1172.21
mbq_vhead_quad,oracle+quad+Vhead,300k,10,2000000,950.33,1268.15
mbq_vhead_quad,oracle+quad+Vhead,300k,11,2000000,35.38,1276.79
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,0,2000000,1340.07,1459.06
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1,2000000,1297.68,1316.32
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,2,2000000,1348.22,1428.59
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,3,2000000,1323.76,1602.94
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,4,2000000,1237.84,1241.75
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,5,2000000,1305.79,1324.17
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,6,2000000,1481.68,1533.40
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,7,2000000,1488.45,1544.86
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,8,2000000,1529.24,1545.87
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,9,2000000,1226.16,1313.90
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,10,2000000,1486.10,1524.72
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,11,2000000,1494.43,1498.44
