time_base,mode,label,joint,is_auto_ref,n_points,n_crossings,section_theta,autocorr_peak,stride_cv,poincare_dispersion,limb_plv,n_strides
regular,top,mf 300k,bthigh,0,799,30,-0.01068,0.5971,0.43751,2.45545,0.09293,27.0
regular,top,mf 300k,bshin,0,799,32,0.04478,0.46093,0.3788,2.46389,0.09293,29.0
regular,top,mf 300k,bfoot,0,799,32,0.00243,0.46594,0.5861,2.73246,0.09293,29.0
regular,top,mf 300k,fthigh,0,799,28,-0.21929,0.39456,0.59582,2.12169,0.09293,26.0
regular,top,mf 300k,fshin,1,799,35,0.18064,0.24174,0.56826,2.72733,0.09293,30.0
regular,top,mf 300k,ffoot,0,799,26,-0.09352,0.42799,0.60497,2.33435,0.09293,25.0
regular,top_buf1m,mf 1M,bthigh,1,799,24,0.03426,0.68449,0.10231,1.30622,0.95982,23.0
regular,top_buf1m,mf 1M,bshin,0,799,29,-0.16622,0.59498,0.23059,1.97912,0.95982,24.0
regular,top_buf1m,mf 1M,bfoot,0,799,28,-0.0161,0.44052,0.25263,2.86879,0.95982,24.0
regular,top_buf1m,mf 1M,fthigh,0,799,24,-0.29813,0.67807,0.16837,1.54479,0.95982,23.0
regular,top_buf1m,mf 1M,fshin,0,799,28,0.14964,0.62854,0.16388,1.69216,0.95982,23.0
regular,top_buf1m,mf 1M,ffoot,0,799,24,0.1899,0.47963,0.16651,2.11179,0.95982,23.0
regular,mbq_vhead_quad,orc 300k,bthigh,0,799,30,-0.02198,0.63087,0.1452,1.73061,0.80595,28.0
regular,mbq_vhead_quad,orc 300k,bshin,0,799,28,-0.11337,0.50617,0.23125,2.22219,0.80595,26.0
regular,mbq_vhead_quad,orc 300k,bfoot,0,799,31,-0.07067,0.47802,0.21935,2.46789,0.80595,28.0
regular,mbq_vhead_quad,orc 300k,fthigh,0,799,28,-0.28604,0.57774,0.20129,2.12612,0.80595,26.0
regular,mbq_vhead_quad,orc 300k,fshin,1,799,29,0.02099,0.6374,0.17968,2.12622,0.80595,26.0
regular,mbq_vhead_quad,orc 300k,ffoot,0,799,27,0.01622,0.62693,0.17197,1.63331,0.80595,26.0
regular,mbq_vhead_quad_buf1m,orc 1M,bthigh,0,799,27,-0.01085,0.6648,0.0952,1.45324,0.8682,27.0
regular,mbq_vhead_quad_buf1m,orc 1M,bshin,0,799,29,-0.15041,0.45483,0.22392,1.72165,0.8682,27.0
regular,mbq_vhead_quad_buf1m,orc 1M,bfoot,0,799,32,-0.25343,0.45833,0.1695,1.79016,0.8682,27.0
regular,mbq_vhead_quad_buf1m,orc 1M,fthigh,0,799,28,-0.16582,0.52896,0.20681,2.04927,0.8682,27.0
regular,mbq_vhead_quad_buf1m,orc 1M,fshin,1,799,29,0.08513,0.74368,0.14349,2.04697,0.8682,27.0
regular,mbq_vhead_quad_buf1m,orc 1M,ffoot,0,799,28,0.05807,0.65436,0.15552,2.02813,0.8682,27.0
irregular,top,mf 300k,bthigh,0,3806,28,-0.04977,0.53671,0.42828,2.57167,0.21236,26.0
irregular,top,mf 300k,bshin,1,3806,30,0.04921,0.55833,0.32013,2.69224,0.21236,30.0
irregular,top,mf 300k,bfoot,0,3806,30,0.00596,0.43063,0.73159,2.60316,0.21236,26.0
irregular,top,mf 300k,fthigh,0,3806,26,-0.1967,0.42178,0.56116,2.33289,0.21236,25.0
irregular,top,mf 300k,fshin,0,3806,29,0.16572,0.32204,0.8179,2.6891,0.21236,23.0
irregular,top,mf 300k,ffoot,0,3806,23,-0.04578,0.27813,0.43495,2.46619,0.21236,22.0
irregular,top_buf1m,mf 1M,bthigh,1,4000,24,0.0304,0.60745,0.12534,1.92078,0.89251,23.0
irregular,top_buf1m,mf 1M,bshin,0,4000,30,-0.10585,0.47212,0.26404,2.41659,0.89251,25.0
irregular,top_buf1m,mf 1M,bfoot,0,4000,27,-0.06456,0.28883,0.2176,3.02505,0.89251,23.0
irregular,top_buf1m,mf 1M,fthigh,0,4000,21,-0.27554,0.52126,0.19321,1.93729,0.89251,21.0
irregular,top_buf1m,mf 1M,fshin,0,4000,23,0.1637,0.49815,0.16999,1.96366,0.89251,23.0
irregular,top_buf1m,mf 1M,ffoot,0,4000,23,0.15263,0.27426,0.2804,2.76782,0.89251,21.0
irregular,mbq_vhead_quad,orc 300k,bthigh,1,3891,29,0.00824,0.82479,0.10429,1.84638,0.76706,27.0
irregular,mbq_vhead_quad,orc 300k,bshin,0,3891,28,-0.03976,0.50399,0.26098,2.03046,0.76706,25.0
irregular,mbq_vhead_quad,orc 300k,bfoot,0,3891,29,-0.11978,0.37111,0.22603,2.75996,0.76706,28.0
irregular,mbq_vhead_quad,orc 300k,fthigh,0,3891,27,-0.2705,0.6646,0.27613,2.03458,0.76706,26.0
irregular,mbq_vhead_quad,orc 300k,fshin,0,3891,29,0.04741,0.82843,0.1485,2.03292,0.76706,27.0
irregular,mbq_vhead_quad,orc 300k,ffoot,0,3891,26,0.04123,0.80055,0.32612,1.79819,0.76706,25.0
irregular,mbq_vhead_quad_buf1m,orc 1M,bthigh,1,3814,25,0.0821,0.82084,0.08924,1.28761,0.89418,23.0
irregular,mbq_vhead_quad_buf1m,orc 1M,bshin,0,3814,26,-0.20396,0.57824,0.21248,1.55146,0.89418,24.0
irregular,mbq_vhead_quad_buf1m,orc 1M,bfoot,0,3814,27,-0.29349,0.56969,0.13584,1.89222,0.89418,24.0
irregular,mbq_vhead_quad_buf1m,orc 1M,fthigh,0,3814,24,-0.17463,0.55482,0.19128,1.48334,0.89418,23.0
irregular,mbq_vhead_quad_buf1m,orc 1M,fshin,0,3814,25,0.03987,0.77538,0.12313,1.55891,0.89418,24.0
irregular,mbq_vhead_quad_buf1m,orc 1M,ffoot,0,3814,24,0.00746,0.71564,0.1696,1.66285,0.89418,24.0
